alpha_rank,strategy_id,two_year_trades,overall_rank,direction,session,conditions,rr,trades,net_r,expectancy_r,profit_factor,max_drawdown_r,win_rate,avg_trades_day,max_concurrent,avg_hold_bars,positive_years,years_tested,worst_year_pf,avg_year_expectancy_r,entry_mode,entry_wait_bars,engine_version,base_score,rr_stability,robust_score,meets_sample,meets_frequency,core_overlap,score,positive_periods,net_2024,net_2025,net_2026
1,NB03,56,101,BUY,New York,above_ema100+bullish_fib_382_rejection+bullish_fib_500_rejection+large_range,6.0,56,32.320323598318005,0.5771486356842501,2.482102250297516,3.936368416564776,,0.0960566047849625,2,32.42857142857143,2,2,2.103153659449759,0.594496459899564,auto,6,2026-08-16-v9-directional-fib-gate,48.21556162155925,0.9613043562688854,47.74912857285839,True,True,,,,,,
2,AB02,49,6,BUY,Asia,bullish_fib_500_rejection+near_fib_500+small_range,5.1,49,54.61424821903199,1.114576494265959,2.7617499425494185,7.0,,0.0840495291868422,3,16.836734693877553,2,2,2.377764479215319,1.110655157436844,auto,6,2026-08-16-v9-directional-fib-gate,60.22799035393452,0.9884600343767216,60.05423311937364,True,True,,,,,,
3,LB04,66,10,BUY,London,above_ema20+above_ema50+bullish_bos_fib_500,4.0,66,58.48431889842029,0.8861260439154588,2.499597920472316,7.0,,0.1132095699251344,4,13.666666666666666,2,2,1.568582017557299,0.8574998964635218,auto,6,2026-08-16-v9-directional-fib-gate,56.34636439785572,0.974301088248174,55.98435433630654,True,True,,,,,,
4,AB01,48,1,BUY,Asia,bullish_candle+bullish_fib_500_rejection+near_fib_382+small_range,5.2,48,59.207649129753534,1.2334926902031986,2.9735883043251183,8.0,,0.082334232672825,3,16.875,2,2,2.817289719626232,1.2365547454050425,auto,6,2026-08-16-v9-directional-fib-gate,60.7632600929792,0.9893764551789104,60.60187978871088,True,True,,,,,,
5,AS01,72,424,SELL,Asia,above_ema200+bearish_fvg_retest+large_range,7.0,72,44.3701745883577,0.6162524248383013,1.9440462678373984,7.0,,0.1235013490092375,2,24.88888888888889,2,2,1.578523081797444,0.7086767864969651,auto,6,2026-08-16-v9-directional-fib-gate,46.23378479668339,0.9887136516125836,46.103332146062336,True,True,,,,,,
6,LS01,66,153,SELL,London,bearish_choch+bearish_fvg,6.5,66,42.509492918618406,0.6440832260396728,1.9790186034887296,10.495912806539511,,0.1132095699251344,1,18.060606060606062,2,2,1.5871935372851094,0.7937345762540655,auto,6,2026-08-16-v9-directional-fib-gate,46.242511349277095,0.9686846116379582,45.88048579884241,True,True,,,,,,
7,NS01,53,130,SELL,New York,bearish_fib_618_rejection+small_range,2.0,53,31.74983733650788,0.5990535346510919,2.4502540955838588,5.0,,0.090910715242911,4,16.92452830188679,2,2,2.303384018502624,0.6077480871121013,auto,6,2026-08-16-v9-directional-fib-gate,47.924170060059744,0.913552915109803,46.88844386069119,True,True,,,,,,
